Program,ID,Name,Dscription,Comments,Program/Accelerator Interim Director review,Complementarity of Results SI,Efficiencies/Strategic Benefit SI,Budget allocation from Project to Program,Total Budget for this Program,Total approximate project remaining budget,Project Summary,Project results,Start Date,End Date,Center,Location,Countries,Source of funding,Funder
Multifunctional Landscapes ,64,"IFAD (EC) Agroecological Transitions for Building Resilient, Inclusive, Agricultural and Food Systems (TRANSITIONS): Private sector incentives and investments","Both description and project summary filled. Transforming global food production systems, while also reducing their impact on the natural environment and improving welfare, remains a complex agenda characterized by overlapping trade-offs. Transitioning from “business as usual” requires simultaneous transformation across multiple levels – from socioecological systems, economics, business, and politico-institutional systems – to ensure the adoption of a more regenerative use of natural resources. However, too little attention is paid to the role of the private and public sectors in advancing to agroecological transition pathways. Although many business and private sector stakeholders are aligning to agroecological principles in food systems, there remains concerns among actors on the motivation, incentives, investments, and transparency of private sector initiatives. Under the TRANSITIONS program, the Private Sector Incentives and Investments (PSii) project will fill persistent knowledge gaps on the role of private and public sector incentives and investments in supporting agroecological transitions for farmers in low- and middle-income countries. The project will: (1) Review exisitng incentives mechanisms for supporting the promotion of agroecological practices, design incentive packages for scaling adoption of agroecological practices within agroecology smart landscapes for transitioning rice, wheat and cococa production systems, (2) Apply holistic metrics to digital traceability tools, and implement within at least one supply chain, (3) Improve enabling environment business models for supporting agroecological produced products, (4) Co-design and co-create incentive packages and building local capacity",,Agree,High,High,0.6,719959.098,1199931.83,"The PSii project focuses on developing innovative private and public sector incentive pathways for scaling agroecological practices to improve landscapes. Developing a better understanding and application for long-term incentives and transparent private sector engagement to support agroecological transitions for farmers and creating an enabling environment for scaling innovations. Key outcomes include: (1) Supported at least 100,000 households to engage with improved private and public sector incentive models and investments to adopt agroecological practices. (2) Improved the intergration of agroecological principles in transparent supply chains for rice, cocoa, and wheat value chains for at least 50,000 households. (3) Encreased the integration of agroecological metrics in supply chain transparency and traceability tools. (4) Improved policy enabling environment and existing business models for supporting agroecological transition for rice, cocoa and wheat value chains, and (5) Ehanced building local capacity, engaging multi-stakeholder platforms and co-mobilizing private sector investments to support agroecological transitions.",,31-Dec-21,30-Jan-27,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,"Ethiopia, Peru",Window 3 - Restricted,
Multifunctional Landscapes ,228,UK FCDO - Seed to tree: value  chains and partnerships for resilient restored forests in Malaysia,"Both description and project summary filled. The three-year project contributes to improved species diversity, establishment success rate, and participation of indigenous peoples and local communities (IPLCs) in forest restoration projects, leading into increased carbon sequestration potential, conservation value, habitat connectivity, and jobs and incomes for 200 IPLC (≥30% female) across 220,000 ha of the Central Forest Spine and Heart of Borneo landscapes in three Malaysian states. The developed methods and tools are scalable to other ASEAN member states and will contribute to the implementation of the ASEAN Centre for Biodiversity’s new Ecosystem Restoration Programme.",,Agree,Med,Med,1,1640756.85,1640756.85,"The three-year project contributes to improved species diversity, establishment success rate, and participation of indigenous peoples and local communities (IPLCs) in forest restoration projects, leading into increased carbon sequestration potential, conservation value, habitat connectivity, and jobs and incomes for 200 IPLC (≥30% female) across 220,000 ha of the Central Forest Spine and Heart of Borneo landscapes in three Malaysian states. The developed methods and tools are scalable to other ASEAN member states and will contribute to the implementation of the ASEAN Centre for Biodiversity’s new Ecosystem Restoration Programme.",,30-Jun-24,27-Feb-27,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,Malaysia,Bilateral - Restricted,Department of Fisheries
Multifunctional Landscapes ,215,"ANONYMOUS DONOR - Fruitful Lands India Phase II: Harnessing Fruit Tree Biodiversity as a Nature-Based Solution for Food Security, Nutrition, Human and Planetary Health","Both description and project summary filled. The GLI is supposed to serve as a buffer in maintaining livelihoods and represents natural insurance, providing environmental services such as carbon sequestration, flood protection, surface and groundwater conservation, soil fertility improvement, and preserving biodiversity as well as social, economic, and/or cultural benefits to the local people. Such nature-based government initiatives need support from various stakeholders such as the scientific community and development partners to generate evidence on multiple benefits of the initiative and its sustainability and scalability. Moreover, re-designing such initiatives in a more holistic agroecological approach that transforms food systems from mass-produced commodities into niche-specific and diversified system, which works within natural boundaries and ensure food and nutrition access to the community in a sustainable way, is needed.",,Agree,High,High,1,1035398.38,1035398.38,"CFL Principles are: 1) Be a catalyst and coordinate to fill gaps in current research around fruit trees; 2) Promote research and uptake of research; and 3) Build a reputable and long-lasting institution. These principles will be achieved through three core objectives: 1. Coordinate, promote, catalyze, and fund cross-disciplinary research; 2. Establish a participatory platform for exchange on research and outputs through conferences, workshops, policy papers, and communication products, and 3. Publicize success stories to influence policy makers, funders, and the common public. This document provides a detailed work plan for the next two years of phase 2 of CFL in the 3 phases (10-year program). Nimboli Fund has committed to 5 million dollars from 2024 to 2028. Key activities in the next 2 years include launching the Fruitful India annual conference and calling for research proposals, which will be the primary platform for ensuring CFL's objectives are achieved.",,30-Apr-24,29-Apr-26,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,India,Bilateral - Restricted,
Multifunctional Landscapes ,139,THE FOOD PLANET PRIZE & THE CURT BERGFORS FOUNDATION Agrobiodiversity Index,"Both description and project summary filled. The Alliance Agrobiodiversity Index has won the 2023 Food Planet Prize. The Agrobiodiversity Index has a vision of using science and empirical evidence to quantify and measure the sustainability of the food system, and translate this into a quantitative index for farmers, businesses, and policy, in order to accelerate the adoption of sustainable and healthy food systems. Itprovides the means to measure the gap between the agricultural biodiversity we have in our food system, and the thousands of plant and food species and varieties we could have, to help maintain healthy diets and resilient production systems now and in the future.",,Agree,High,High,0.5,888288.72,1776577.44,"The Agrobiodiversity Index is useful in a context where Governments and development partners, including multilateral agencies and development banks, needs to design and monitor policies and interventions and measure progress towards global targets. Also, where Companies needs help to reduce risks in the supply chain, enhance environmental stewardship and improve the sustainability of their production, responding to consumers and investors needs. It also supports Global conventions and treaties to monitor how well countries are doing with their commitments towards agrobiodiversity and Investors to rate the policies and performance of food and agriculture companies, and make appropriate decisions. Agrobiodiversity is measured through 3 pillars : 1) Status – the current state of agrobiodiversity in markets and consumption, in agricultural production, and in genetic resource management; 2) Actions – what countries, companies, or projects are concretely doing to increase agrobiodiversity across the food system and 3)Commitments – to what extent country, company or project strategies, policies and codes of conduct are contributing to sustainable use and conservation of agrobiodiversity for healthy diets, sustainable agriculture and future use options.",,25-Jun-23,25-May-28,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,,Bilateral - Restricted,
Multifunctional Landscapes ,146,F-AG10607-ASIA-AFRICA BLUETECH SUPERHIGHWAY PROJECT (COAST),ASIA-AFRICA BLUETECH SUPERHIGHWAY PROJECT (COAST),,Agree,Med,Med,0.2,8654107,43270534,"Asia–Africa BlueTech Superhighway (AABS) harnesses South–South collaboration to assess, adapt and scale evidence-based innovations and models for delivering nature-positive impact through aquatic food systems. Implemented by WorldFish in collaboration with a host of partners, AABS aims to transform livelihoods of coastal communities across African and Asian countries, particularly for women and youth, and help restore marine and coastal ecosystems by developing sustainable and resilient aquatic food systems. Funded by the UK Government under its Blue Planet Fund, AABS is being implemented in two phases over the course of seven years (2023–2030).",,13-Jul-23,30-Mar-30,WorldFish,country,"Nigeria, Mozambique, Bangladesh, Kenya",Bilateral,
Multifunctional Landscapes ,49,W-D-0440-AL MURANA,AL MURANA –  building climate resilience  through enhanced water security in MENA,,Agree,High,High,0.4,1200000,3000000,"The Middle East and North Africa (MENA) is the most water-scarce region in the world. Throughout the MENA region both surface and groundwater resources are over exploited because of increasing water demand. Agriculture is by far the largest user of water and is a major cause of depleted aquifers, rivers and reservoirs. The goal of this project is to increase water security in the MENA region through the integration of Nature Based Solutions for Water (NBSW) and Agricultural Water Management (AWM) in the face of climate change and land degradation.  Implemented by the MENA regional office of the International Water Management Institute (IWMI) in partnership with the International Union for the Conservation of Nature (IUCN), the central premise of this project is that appropriately designed on-the-ground NBSW and AWM interventions can, in tandem, enhance water security in the agricultural regions of the Middle East, thereby increasing the resilience of households and communities. The program will strengthen, empower and catalyse  national capacities for the implementation and up-scaling of integrated NBSW/AWM. Working with government and non-government stakeholders in Jordan, Lebanon, Palestine and Egypt, it will develop action-oriented field examples and recommendations that overcome technical and non-technical barriers to uptake and long-term sustainability of NBSW/AWM. It will generate evidence and understanding of the contribution NBSW/AWM can make to sustainably increase water security. Women, youth and marginalized people will be specifically targeted, with their engagement and input contributing to the delivery of co-developed pragmatic approaches to investing in NBSW/AWM in the region.","The goal of this project is to increase water security in the MENA region through the integration of Nature Based Solutions for Water (NBSW) and Agricultural Water Management (AWM) in the face of climate change and land degradation.  Implemented by the MENA regional office of the International Water Management Institute (IWMI) in partnership with the International Union for the Conservation of Nature (IUCN), the central premise of this project is that appropriately designed on-the-ground NBSW and AWM interventions can, in tandem, enhance water security in the agricultural regions of the Middle East, thereby increasing the resilience of households and communities. The program will strengthen, empower and catalyse  national capacities for the implementation and up-scaling of integrated NBSW/AWM. Working with government and non-government stakeholders in Jordan, Lebanon, Palestine and Egypt, it will develop action-oriented field examples and recommendations that overcome technical and non-technical barriers to uptake and long-term sustainability of NBSW/AWM. It will generate evidence and understanding of the contribution NBSW/AWM can make to sustainably increase water security. Women, youth and marginalized people will be specifically targeted, with their engagement and input contributing to the delivery of co-developed pragmatic approaches to investing in NBSW/AWM in the region.",11-Sep-21,11-Sep-26,International Water Management Institute,country,"Lebanon, Egypt",Bilateral,
Multifunctional Landscapes ,121,V0165-ACIAR-ICCCAD,ACIAR-ICCCAD,,Agree,Med,Med,0.2,344494.4,1722472,"The aim of this project is is to develop and demonstrate locally led learning processes that (i) enable farming communities in the polders of coastal Bangladesh to adapt to climate change challenges in the management of agriculture, (ii) can be institutionalized, securing financial and human social capital to be self-sustaining in the long term, and (iii) that influence and are supported by multi-stakeholder learning and governance.",,10-Jan-23,09-Jul-29,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,"Bangladesh, Zimbabwe",Bilateral,
Multifunctional Landscapes ,4,Fertilize Right Colombia, ,,Agree,Med,Med,0.4,NaN,NaN, , ,1 January 45146,1 January 46544,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),country,Colombia,BILATERAL - RESTRICTED,
Better Diets and Nutrition,124,N-601170-WASTING DETECTION&TREATME,WASTING DETECTION&TREATME,,Agree,Med,Med,1,1363310,1363310,"The research activities will be led and coordinated across countries by IFPRI in close collaboration and coordination with local research partners in each country. We will use an iterative process of extensive consultation and discussion with relevant stakeholders in each of the target countries, starting from the research design phase all the way through the implementation, publication, and dissemination of the results. IFPRI will draw from its deep policy research and engagement experience to ensure that findings from the study are effectively translated into action and used for program and policy decisions for the benefit of families and children in Sub Saharan Africa and beyond. The research will include two phases: 1) a design phase of approximately eight months; and 2) a three-year research implementation phase.",,31-Jan-23,07-Jul-27,International Food Policy Research Institute,country,Kenya,Bilateral,
Better Diets and Nutrition,148,P-1529-UNGP-Technical Assistance for Sweetpotato processing,Technical Assistance for the Promotion of the Production and Processing of Orange-Fresh Sweet Potatoes of the MIONJO Project,,Agree,Med,Med,0.2,151579.48,757897.4,"Implemented in the Southern regions of Madagascar, the project seeks to improve livelihood opportunities and resilience of community-based organizations or “Sweet Livelihood Clubs” with women and youth members through the establishment of sustainable seed systems and profitable value chains of vitamin A rich orange-fleshed sweetpotato (OFSP) with a strengthened enabling environment at the commune level.",,04-Aug-23,30-May-25,International Potato Center / Centro Internacional de la Papa,country,Madagascar,Bilateral,
Better Diets and Nutrition,211,R-A-2023-11-Specialty Rice,SpecialtyRice,,Agree,Med,Med,0.25,356778.5,1427114,The major goal of this project is to develop a sustained system for specialty rice in Odisha for improved farm economics of growers and healthier rice choice for consumers.,,31-Mar-24,30-Mar-27,International Rice Research Institute,country,India,Bilateral,
Better Diets and Nutrition,14,N-301055-SOCIAL TRANS IMPROV NUTR,SOCIAL TRANS IMPROV NUTR,,Agree,Med,Med,1,1555180,1555180,"The objective of the study is to assess whether social transfer programs in Bangladesh can be leverage to improve maternal and newborn health and nutrition. In the design phase (about 8 months) we will carry out a literature review to synthesize available evidence; carry out a landscape analysis of social transfer programs in Bangladesh; identify a suitable program for incorporating a maternal nutrition component aimed at improving maternal and newborn health and nutrition outcomes; and design the effectiveness evaluation protocol for the study to be carried out in the second phase. In the second phase (about 3 years), a cluster-randomized controlled longitudinal trial will be carried out to estimate the impact of adding a micronutrient-fortified balanced energy and protein supplement (or an equivalent amount of cash) + behaviour change communication targeted to pregnant women to an existing social transfer program.",,09-Apr-18,08-Jun-26,International Food Policy Research Institute,country,Bangladesh,Window 3,
Better Diets and Nutrition,66,N-303028-SMALLHOLDERS ACCESS-SOLAR,SMALLHOLDERS ACCESS-SOLAR,,Agree,Med,Med,1,630583,630583,"This project promotes solar-powered water pumps to address smallholders’ access to renewable energy and improve irrigation efficiency in crisis-prone countries in the Middle East & North Africa, Egypt, and Yemen. Our interventions will provide automatic, solar-powered water pumps for rural communities in Egypt and Yemen that have been impacted by deteriorating food security situations, rising diesel prices, water shortages, and water management challenges (especially after the conflict in Ukraine). Such interventions are expected to improve smallholders’ access to affordable renewable energy while also facilitating sustainable production systems. Solar-Powered Irrigation Systems (SPIS) are particularly appealing in the context of Egypt and Yemen, where irrigation has been widely used for the production of various food items as well as for household water needs, while many smallholders are not yet connected to electric grids. SPIS can improve smallholders’ production potential while addressing future water scarcity and related climate challenges in Egypt and Yemen. In collaboration with a private sector and a Japanese manufacturer, we will promote SPIS by offering subsidized solar-powered water pumps to smallholders. This project will provide these subsidized solar-powered water pumps to farmer groups in both Egypt and Yemen, who will agree to contribute financially and manage these solar-powered water pumps, combined with the necessary training and complementary inputs to promote modern, sustainable practices to maximize yields and quality, and improve nutrition situations through the production of nutrition rich foods such as vegetables and fruits. The project aims to improve smallholders’ production potential and overall livelihood and the impact evaluation built in this work will provide us with pilot nature but rigorous evidence that can be useful to improving the effectiveness and efficiency of Japan’s ODA.",,03-Jan-22,02-Jul-26,International Food Policy Research Institute,country,"Egypt, Yemen",Window 3,
Better Diets and Nutrition,205,R-A-2023-116-Entrep Rice Value Addition,Promoting Self Help Group-led Entrepreneurship through Rice Value Addition,,Agree,Med,High,0.8,5022482.4,6278103,"The project´s major purpose is to develop women Self Help Group-led small-scale food enterprises for rice value-added products in Odisha through unique rice and millet-based food items with increased commercial potential by combining: i) milled rice as a premium commodity with nutritional benefits from traditional rice landraces and/or nutritious high yielding varieties of rice grains rich with nutraceuticals carrying human health benefits, and ii) product formulations employing rice by-products such as broken rice and rice bran to develop value-added rice food products. It also aims to provide WSHGs with the skills they need to process and prepare high-quality, nutritious, and marketable food items.",,12-Jan-24,11-Jan-27,International Rice Research Institute,country,India,Bilateral,
Better Diets and Nutrition,90,N-301058-POSHAN PH 3,POSHAN PH 3,,Agree,Med,Med,1,1670836,1670836,"POSHAN was launched in 2011 to identify the major evidence gaps on nutrition and support the use of data and evidence to guide policies and practices for nutrition in India. POSHAN uses a combination of secondary data analyses, policy process studies, and implementation research to highlight malnutrition problems, their determinants, and to identify solutions to address them. An integral part of POSHAN’s work is mobilizing evidence and supporting diverse stakeholders to use evidence for nutrition policy and practice decisions. During the third phase of POSHAN (Sept 1, 2022-Dec 30, 2025), IFPRI proposes work on generating and disseminating high quality evidence and mobilizing nutrition stakeholders around multiple forms of evidence. This work will focus on (1) undernutrition across the lifecycle, (2) anemia, and (3) emerging nutrition challenges. There will also be greater emphasis on the sustainability of the initiative’s impacts, through strengthening the capacity of national institutions (e.g., co-developing research workplans, conducting joint research, co-developing knowledge products and publishing research outputs jointly).",,10-Apr-22,04-Jun-27,International Food Policy Research Institute,country,India,Window 3,
Better Diets and Nutrition,245,T-PJ-003948: Fair Food and Trade Systems for Africa through Food Convergence Innovation,PJ-003948: Fair Food and Trade Systems for Africa through Food Convergence Innovation,,Agree,High,Med,0.5,2427020.444,4854040.887,,,31-Oct-24,30-Oct-28,International Institute of Tropical Agriculture,country,,Bilateral,
Better Diets and Nutrition,50,"T-PJ-003517: Chicken, Fish and Pigs Feed and Organic Fertilizer Value Chain Development Using BSF-Based Urban Biowaste Processing in Ghana, Mali, Niger and the Democratic Republic of Congo","PJ-003517: Chicken, Fish and Pigs Feed and Organic Fertilizer Value Chain Development Using BSF-Based Urban Biowaste Processing in Ghana, Mali, Niger and the Democratic Republic of Congo",,Agree,High,High,0.2,702151.9204,3510759.602,,Develop a biowaste management business model by analyzing current and future streams. Establish value chains for chicken and fish feed and organic fertilizer. Optimize Black Soldier Fly (BSF) biowaste processing and build capacity for youth agripreneurs and stakeholders.,30-Sep-21,29-Jun-26,International Institute of Tropical Agriculture,country,"Niger, Mali, Ghana",Bilateral,
Better Diets and Nutrition,168,N-632006-PARES,PARTNER SUST EDUC-PARES,,Agree,Med,Med,0.5,739431.5,1478863,"The PARES project's purpose is to improve the literacy skills of school-aged children and promote the use of good health, nutrition and diet practices through school meals and literacy programming. IFPRI's research examines strategies to strengthen community involvement in the handover of school meals from World Vision to GoM.",,31-Oct-23,27-Aug-28,International Food Policy Research Institute,country,,Bilateral,
Better Diets and Nutrition,12,N-306005-NUTRITION STATUS-BIHAR&OD,NUTRITION STATUS-BIHAR&OD,,Agree,Med,Med,0.5,481031.5,962063,"This program will lay the foundation to scale and mainstream biofortification globally in Bihar, Odisha, and India as a whole, serving as a springboard for proliferation of biofortified crops throughout these states and those bordering, impacting the entire value chain. For this purpose, HarvestPlus will work to compile the evidence base on the nutritional impact, cost effectiveness and scalability of biofortification throughout this process for future application. It is anticipated that this program will result in improved micronutrient intake for over a million people within five years and millions more in the years to follow and will demonstrate the capacity of agriculture to make a significant contribution in the fight against micronutrient malnutrition.",,10-Mar-17,09-Jul-26,International Food Policy Research Institute,country,India,Window 3,
Better Diets and Nutrition,69,N-606021-MEAL PROGRAMS INDIA,MEAL PROGRAMS INDIA,,Agree,Med,Med,1,1511824.59,1511824.59,"The proposed program intends to reach two million children with biofortified food products every school day to combat high levels of micronutrient deficiency, providing a roadmap to scale the approach through the national program which reaches 120 million students. The project will be implanted in three stages with the following interventions: A. Demand: 1. Menu development, sensory evaluation and nutritional efficacy trials. 2. Roll out of selected menus to subset of blocks in aspirational districts through AP kitchens. 3. Full coverage for high priority districts in collaboration with government and other non-profits. B. Supply: 1. Supply feasibility study keeping sustainability in view. 2. Aggregating traceable supply of millet through clustered farmer producer groups, and market links with school feeding procurement system. Community engagement and training on nutrition awareness and to traders, processors to meet SQMS requirements and traceability. Flagship program’s effectiveness trial. 3. Expansion in high priority districts through commercial linkages and government support.",,06-Jan-22,29-Jun-26,International Food Policy Research Institute,country,India,Bilateral,United Nations Foundation
Better Diets and Nutrition,109,N-606024-KTM SCHOOL FEED,KTM SCHOOL FEED,,Agree,Med,Med,1,1055814,1055814,"The Grant aims to contribute to improve the nutrition of school-going age children through increased demand for biofortified crops/foods in school meals in Kenya, Malawi, and Tanzania.",,04-Dec-22,30-Jul-25,International Food Policy Research Institute,country,"Malawi, Kenya",Bilateral,
Better Diets and Nutrition,137,N-644H06-HP-WV-REACTS-IN-Finance,HP-WV-REACTS-IN,,Agree,Med,Med,1,2860441.99,2860441.99,"Intervening at the community level to address the multi-sectoral issues needed to reclaim the nutrition gains lost and build resilience, the Project will improve nutrition, nutrition-related rights, and gender equality for the poorest women, adolescent girls, and children in Bangladesh (Thakugaron district), Kenya (Elgeyo Marakwet County), Somalia (Baidoa district) and Tanzania (Meatu and Maswa districts of Simiyu Region). The REACTS-IN Project will support the strengthening of nutrition and health systems with a focus on the gender dimensions of malnutrition. Activities are designed to: i) foster behavior change; ii) strengthen systems and community based service delivery; and iii) connect community groups’ voices to advocacy and policy platforms to increase their ability to influence decision-making on resources at the sub-national and national levels.",,24-May-23,30-Dec-29,International Food Policy Research Institute,country,"Kenya, Bangladesh",Bilateral,
Better Diets and Nutrition,143,N-644H03-HP–GAC–ENFS,HP–GAC–ENFS,,Agree,Med,Med,0.5,1960159.175,3920318.35,"Expanding the reach of nutrient-enriched staples for sustainable food systems transformation with the goal of improved access to and control of nutritious climte-smart seed, food, and knowledge, for vulnerable communities, especially women and girls, in Bangladesh, Pakistan, India, Uganda, and Zimbabwe.",,30-Jun-23,30-Mar-26,International Food Policy Research Institute,country,"India, Pakistan, Zimbabwe, Uganda, Bangladesh",Bilateral,
Better Diets and Nutrition,218,N-644H12 - NUTRIHARVEST,HP-Cargill-Nutriharvest,,Agree,Med,Med,0.5,1420861.07,2841722.14,"Improving Food Security and Dietary Diversity through Biofortification, Underutilized Crops, and Poultry",,31-May-24,29-May-27,International Food Policy Research Institute,country,"Kenya, Guatemala, India",Bilateral,Cargill
Better Diets and Nutrition,256,R-A-2024-145-Healthier Rice,Healthier Rice,,Agree,High,High,0.5,294000,588000,"This is a co-funding by USAID in support of the main BMGF investment that aims to obtain regulatory approvals and see the deployment of Golden Rice not only in Bangladesh and the Philippines but as well in Indonesia. obtain regulatory approvals for high iron and zinc rice (HIZR), and initiate the stacking of Golden Rice and HIZR traits in important rice varieties.",,01-Jan-25,31-Dec-25,International Rice Research Institute,country,"Indonesia, Philippines",Window 3,
Better Diets and Nutrition,84,P-1490-DFAT-Generating Revenues and Opportunities for Women,Generating Revenues and Opportunities for Women to Improve Nutrition in Ghana (GROWING),,Agree,Med,Med,0.4,1026658.4,2566646,"The Generating Revenues for improved nutrition in northern Ghana (GROWING) project targets women of reproductive age (15-49 years) and their children from rural households in the north of Ghana from across an estimated 72 villages. The ultimate outcome of the initiative is the improved nutritional and financial security of women, youth, and young children in 6 selected districts. This outcome will be achieved through a multi-sectoral nutrition-sensitive value chain development approach, using activities such as: (1) providing Healthy Baby Toolkits, Goal cards, planting materials of orange-fleshed sweet potato, moringa and papaya to Healthy Living Club participant households; (2) producing gender-responsive videos, related media tools, and collaborations for facilitating training activities and nutritious crop uptake in targeted communities: and (3) providing technical assistance in consultation with communities to identify and train male and female gender champions.",,23-Mar-22,29-Sep-26,International Potato Center / Centro Internacional de la Papa,country,Ghana,Bilateral,
Better Diets and Nutrition,212,PJ-003978: Cassava Source Sink (CASS) Phase III,FAU/IITA- Cassava Source Sink (CASS) Phase III- PJ-3978,,Agree,High,High,0.1,246617.069,2466170.69,"This third phase of the Cassava Source Sink Project aims to significantly enhance cassava yield and quality on smallholder farms in Sub-Saharan Africa by optimizing plant physiology and source-sink relationships. This project's objectives are to develop nutrient-efficient genotypes with improved sink capacity, modify the shoot-root ratio and enhance traits like photosynthesis and starch accumulation through genetic engineering and breeding. The expected outputs of the project include high-yield, nutrient-rich cassava plants and a comprehensive database (CASSbase) for future research. This project targets increased cassava production, which will boost food security and economic stability for smallholder farmers and benefit agricultural researchers and local economies.","Develop high-yield, nutritionally enhanced cassava genotypes through genetic and metabolic engineering. Increase smallholder cassava production for food security and economic stability. Establish CASSbase, a comprehensive database for research and breeding initiatives.",30-Apr-24,29-Apr-29,International Institute of Tropical Agriculture,country,Nigeria,Bilateral,
Better Diets and Nutrition,122,T-PJ-003835-EU/IITA - FOOD SAFETY FOR AFRICA - ADDRESSING FO,EU/IITA - FOOD SAFETY FOR AFRICA - ADDRESSING FOOD SAFETY CHALLENGES IN THE AFRICAN INFORMAL SECTOR THROUGH INNOVATIVE STRATEGIES & USE CASES (RAFS)-PJ-3835...T.FALADE,,Agree,High,High,0.5,1610458.734,3220917.467,,"Generate GAP analysis and landscape reports on the informal sector with evidence-based recommendations. Develop food safety knowledge platforms, directories, and evaluation reports. Establish communication, advocacy, and innovation plans, alongside ethical committee setup, work plans, and data management guidelines.",11-Jan-23,29-Nov-27,International Institute of Tropical Agriculture,country,"South Africa, Nigeria, Kenya, Ghana, Egypt, Cameroon",Bilateral,
Better Diets and Nutrition,21,Enhancing Crop Productivity and Climate Resilience for Food and Nutrition Security in Mali (FNS-Mali),Enhancing Crop Productivity and Climate Resilience for Food and Nutrition Security in Mali,,Agree,Med,Low,0.3,406800,1356000,"The project aims to demonstrate that circular food systems can decouple growth in social and economic benefits from consumption of natural resources (particularly water and land) and production of greenhouse gas emissions in agriculture, reducing urbanization by creating local opportunities for the women and youth. We will test how smallholder irrigation schemes might become the engine of local resilience and economic development by being integrated with livestock, and dryland agricultural production to support strategic and inclusive development of small, value-adding business to form climate smart circular food systems in East and Southern Africa.",,21-Oct-19,19-Jul-25,International Crops Research Institute for the Semi-Arid Tropics,country,Mali,Bilateral,
Better Diets and Nutrition,67,N-303026-CHILD SCHOOL LUNCH-GHANA,CHILD SCHOOL LUNCH-GHANA,,Agree,Med,Med,1,906491,906491,"School meals intervention is a multi-sectoral approach that plays an important role in long-term human capital formation by improving young children’s nutrition conditions and learning performance. In many developing countries, however, sustainable school meal systems have not been introduced due to a lack of suitable food, appropriate school facilities, certified dieticians, and so on, which is a serious problem when people live under the current threat of food insecurity and food price spike, mainly caused by the Ukraine-Russia war, often exacerbated by local political instability, social fragility, and conflict and violence. In collaboration with Japanese experts working on school lunch from the University of Niigata Prefecture and Japan Society of Nutrition and Dietetics, we plan to introduce a sustainable school meals intervention aiming to improve and upscale the school lunch program in Ghana by redesigning menus and strengthening linkages to local agriculture based on Japan’s experience in the school lunch program. The intervention will improve child nutritional status, health and learning performance, thus increasing resilience of the school system, children, and local livelihoods to food insecurity crisis and COVID-19, which has been negatively impacting economic activities, household income, and nutrition intake of young children.",,03-Jan-22,02-Jul-26,International Food Policy Research Institute,country,Ghana,Window 3,
Better Diets and Nutrition,171,T-PJ-003911-CGIAR Genetic Innovations Public-Private Partnership Platform,CGIAR Genetic Innovations Public-Private Partnership Platform,,Agree,High,High,0.1,340109.479,3401094.79,"The Genetic Innovations-Public Private Partnership (GI-PPP) platform aims to advance the modernization of Genetic Innovations (GI) by facilitating collaborations with private sector companies. The platform's main objective is to streamline the engagement process between these companies and CGIAR breeding programs, reducing transaction costs through a specialized unit adept in forming and managing partnerships. By creating at least five robust public-private partnerships, the GI-PPP intends to significantly enhance the effectiveness of GI breeding programs. These partnerships are expected to bring substantial in-kind contributions from the private sector, which will help offset modernization costs and accelerate the adoption of innovative breeding technologies.","Develop five public-private partnerships, securing private sector funding and in-kind investments for CG crop breeding. Implement industry best practices across Genetic Innovation (GI) breeding programs and integrate the GI public-private partnership platform into core Genetic Innovation programming.",09-Dec-23,30-Oct-27,International Institute of Tropical Agriculture,country,Nigeria,Window 3,
